RNK,Player,Team Pos,F TEAM,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Adrian Peterson, Min RB,FA,0/0,0,0,0,328,1692,13,39,308,1,333.3
2,Arian Foster, Hou RB  ,FA,0/0,0,0,0,319,1354,13,44,406,2,316.9
3,Marshawn Lynch, Sea RB,FA,0/0,0,0,0,298,1439,12,20,165,1,275.2
4,Ray Rice, Bal RB,FA,0/0,0,0,0,265,1190,9,58,498,2,288.8
5,Doug Martin, TB RB  ,FA,0/0,0,0,0,308,1294,8,58,470,1,287.2
6,Jamaal Charles, KC RB  ,FA,0/0,0,0,0,247,1499,4,51,474,2,280.5
7,C.J. Spiller, Buf RB  ,FA,0/0,0,0,0,252,1498,5,40,429,2,275.4
8,Trent Richardson, Cle RB,FA,0/0,0,0,0,295,1251,10,48,374,1,280.5
9,Alfred Morris, Wsh RB,FA,0/0,0,0,0,318,1497,11,14,101,0,260.1
10,Calvin Johnson, Det WR  ,FA,0/0,0,0,0,2,15,0,103,1698,12,290.5
11,LeSean McCoy, Phi RB,FA,0/0,0,0,0,233,1120,4,67,529,3,259.2
12,Aaron Rodgers, GB QB,FA,360/540,4279,39,7,53,271,3,0,0,0,454.9
13,A.J. Green, Cin WR,FA,0/0,0,0,0,4,37,0,91,1287,12,248.8
14,Drew Brees, NO QB,FA,427/660,5170,40,18,14,7,1,0,0,0,436.8
15,Steven Jackson, Atl RB,FA,0/0,0,0,0,226,976,9,47,371,1,239.3
16,Dez Bryant, Dal WR,FA,0/0,0,0,0,1,3,0,97,1405,11,252.4
17,Matt Forte, Chi RB,FA,0/0,0,0,0,236,1043,4,52,448,2,233.2
18,Stevan Ridley, NE RB,FA,0/0,0,0,0,276,1247,10,5,37,0,214
19,Peyton Manning, Den QB,FA,400/602,4870,38,13,20,4,1,0,0,0,423.5
20,Brandon Marshall, Chi WR  ,FA,0/0,0,0,0,1,3,0,109,1365,10,251.4
21,Frank Gore, SF RB,FA,0/0,0,0,0,236,1102,8,25,187,1,216
22,Julio Jones, Atl WR,FA,0/0,0,0,0,6,64,0,78,1227,10,227.2
23,Chris Johnson, Ten RB,FA,0/0,0,0,0,256,1198,5,34,292,0,217.1
24,Demaryius Thomas, Den WR,FA,0/0,0,0,0,0,0,0,83,1249,10,223.4
25,Tom Brady, NE QB,FA,393/605,4765,34,8,23,57,2,0,0,0,415.2
26,Roddy White, Atl WR  ,FA,0/0,0,0,0,0,0,0,95,1290,8,224.5
27,Maurice Jones-Drew, Jac RB  ,FA,0/0,0,0,0,237,1042,6,36,288,1,215.2
28,David Wilson, NYG RB,FA,0/0,0,0,0,267,1267,6,20,189,1,218.3
29,Vincent Jackson, TB WR,FA,0/0,0,0,0,0,0,0,69,1334,7,209.9
30,Jimmy Graham, NO TE  ,FA,0/0,0,0,0,0,0,0,94,1167,10,222.2
31,Andre Johnson, Hou WR,FA,0/0,0,0,0,0,0,0,103,1412,6,228.7
32,Cam Newton, Car QB,FA,296/497,3883,20,13,120,726,8,0,0,0,386.8
33,Randall Cobb, GB WR,FA,0/0,0,0,0,15,133,0,99,1186,7,223.4
34,Darren McFadden, Oak RB  ,FA,0/0,0,0,0,216,1088,5,40,306,1,212.5
35,Larry Fitzgerald, Ari WR,FA,0/0,0,0,0,0,0,0,79,1256,7,207.1
36,Wes Welker, Den WR,FA,0/0,0,0,0,2,16,0,92,1170,6,200.8
37,Eddie Lacy, GB RB,FA,0/0,0,0,0,235,1009,8,18,133,0,193.2
38,Victor Cruz, NYG WR  ,FA,0/0,0,0,0,0,0,0,80,1043,8,192.3
39,DeMarco Murray, Dal RB,FA,0/0,0,0,0,197,975,5,37,289,0,191.6
40,Marques Colston, NO WR,FA,0/0,0,0,0,0,0,0,77,1065,8,190
41,Reggie Wayne, Ind WR,FA,0/0,0,0,0,0,0,0,96,1210,5,197.5
42,Mike Wallace, Mia WR,FA,0/0,0,0,0,5,47,0,70,1108,7,191.5
43,Matt Ryan, Atl QB,FA,402/610,4737,33,11,30,130,1,0,0,0,403.8
44,Darren Sproles, NO RB,FA,0/0,0,0,0,59,313,2,83,696,7,202.3
45,Colin Kaepernick, SF QB,FA,282/450,3833,20,10,109,590,7,0,0,0,370.5
46,Danny Amendola, NE WR,FA,0/0,0,0,0,2,21,0,74,754,7,153.7
47,Hakeem Nicks, NYG WR,FA,0/0,0,0,0,0,0,0,60,884,6,154.4
48,Robert Griffin III, Wsh QB  ,FA,237/377,3067,17,7,94,624,6,0,0,0,323.6
49,Steve Smith, Car WR,FA,0/0,0,0,0,4,43,0,74,1117,4,175.9
50,Reggie Bush, Det RB,FA,0/0,0,0,0,163,703,3,74,610,3,216.1
51,Lamar Miller, Mia RB,FA,0/0,0,0,0,224,1003,6,27,220,0,191.2
52,Eric Decker, Den WR,FA,0/0,0,0,0,0,0,0,68,883,8,168.8
53,Dwayne Bowe, KC WR,FA,0/0,0,0,0,0,0,0,78,982,6,171.7
54,Rob Gronkowski*, NE TE,FA,0/0,0,0,0,0,0,0,70,978,13,209.3
55,Montee Ball, Den RB,FA,0/0,0,0,0,197,814,8,14,98,1,170.4
56,James Jones, GB WR,FA,0/0,0,0,0,0,0,0,80,1045,7,186.5
57,Tony Gonzalez, Atl TE,FA,0/0,0,0,0,0,0,0,89,856,8,178.1
58,Chris Ivory, NYJ RB,FA,0/0,0,0,0,166,855,7,9,57,0,151.3
59,Antonio Brown, Pit WR,FA,0/0,0,0,0,6,42,0,72,980,6,171.8
60,Ryan Mathews, SD RB,FA,0/0,0,0,0,199,915,3,38,298,1,181.2
61,Jason Witten, Dal TE,FA,0/0,0,0,0,0,0,0,98,936,5,172.6
62,Jordy Nelson, GB WR,FA,0/0,0,0,0,0,0,0,66,1003,6,167.8
63,Ahmad Bradshaw, Ind RB,FA,0/0,0,0,0,154,654,6,34,233,1,161.6
64,Pierre Garcon, Wsh WR,FA,0/0,0,0,0,2,18,0,63,889,6,156.9
65,Matthew Stafford, Det QB,FA,446/707,4975,28,16,22,91,1,0,0,0,366.3
66,DeAngelo Williams, Car RB,FA,0/0,0,0,0,181,779,5,24,195,1,160.5
67,Cecil Shorts, Jac WR,FA,0/0,0,0,0,0,0,0,63,970,6,163
68,DeSean Jackson, Phi WR,FA,0/0,0,0,0,11,55,0,62,995,5,164.1
69,Russell Wilson, Sea QB,FA,281/437,3150,26,13,101,526,5,0,0,0,356.7
70,Vernon Davis, SF TE,FA,0/0,0,0,0,0,0,0,70,785,6,149.5
71,Torrey Smith, Bal WR,FA,0/0,0,0,0,3,24,0,64,946,7,171.3
72,Greg Jennings, Min WR,FA,0/0,0,0,0,0,0,0,68,806,7,156.6
73,Giovani Bernard, Cin RB,FA,0/0,0,0,0,140,704,3,46,390,1,167.4
74,Tavon Austin, StL WR,FA,0/0,0,0,0,12,78,0,53,823,5,147.8
75,Anquan Boldin, SF WR,FA,0/0,0,0,0,1,12,0,70,887,6,161
76,Andrew Luck, Ind QB,FA,372/613,4061,26,12,70,289,3,0,0,0,355.4
77,BenJarvus Green-Ellis, Cin RB,FA,0/0,0,0,0,217,846,6,14,98,0,157.6
78,Steve Johnson, Buf WR,FA,0/0,0,0,0,0,0,0,80,1008,5,169.3
79,Rashard Mendenhall, Ari RB  ,FA,0/0,0,0,0,208,806,6,19,137,1,165.1
80,Shane Vereen, NE RB,FA,0/0,0,0,0,132,587,4,48,386,2,167.5
81,Sidney Rice, Sea WR  ,FA,0/0,0,0,0,0,0,0,61,940,7,165
82,Tony Romo, Dal QB,FA,417/627,4756,30,15,25,40,1,0,0,0,368.9
83,Kyle Rudolph, Min TE,FA,0/0,0,0,0,0,0,0,52,503,8,124.3
84,Daryl Richardson, StL RB,FA,0/0,0,0,0,161,706,5,38,289,1,167.6
85,T.Y. Hilton, Ind WR,FA,0/0,0,0,0,6,21,0,56,902,6,155.4
86,Miles Austin, Dal WR,FA,0/0,0,0,0,0,0,0,57,840,6,147
87,Vick Ballard, Ind RB,FA,0/0,0,0,0,162,630,6,14,90,0,129.7
88,Mike Williams, TB WR,FA,0/0,0,0,0,0,0,0,63,954,5,155.4
